Annual Turnover (Pounds in million),Annual Profit|loss ((Pounds in million)),Credit score,Years in Operation,Customer Base,Collateral ,Employee Numbers,Loan Status
14.3,7,7.3,13.54,,,,
12.7,2.2,10.5,14.48,,,,
12.4,1.3,11.1,14.69,,,,
12.6,2,10.6,14.52,,,,
9.1,3,6.1,14.01,,,,
10.1,1.5,8.6,14.55,,,,
11.7,1,10.7,14.74,,,,
11.5,0.8,10.7,14.79,,,,
7.9,2,5.9,14.24,,,,
10.4,1,9.4,14.71,,,,
14.9,3,11.9,14.4,,,,
14.7,2,12.7,14.59,,,,
14.5,1,13.5,14.79,,,,
14.1,1.2,12.9,14.74,,,,
8.9,3,5.9,13.99,,,,
10,3,7,14.1,,,,
11.8,1,10.8,14.75,,,,
11.7,1.8,9.9,14.54,,,,
10.9,1.5,9.4,14.59,,,,
27.5,1.2,26.3,14.87,,,,
14.3,3,11.3,14.37,,,,
13.9,1.5,12.4,14.68,,,,
13.9,1.3,12.6,14.72,,,,
12.3,1.6,10.7,14.61,,,,
10.8,1.8,9,14.5,,,,
8.8,1.4,7.4,14.52,,,,
10,1,9,14.7,,,,
7.9,1.2,6.7,14.54,,,,
8.4,1.4,7,14.5,,,,
12.5,0.2,12.3,14.95,,,,
13.7,3.3,10.4,14.28,,,,
13.3,1.4,11.9,14.68,,,,
11.2,1.6,9.6,14.57,,,,
13.4,1,12.4,14.78,,,,
13.6,0.7,12.9,14.85,,,,
8.4,2,6.4,14.29,,,,
10.3,1.3,9,14.62,,,,
7.6,1.5,6.1,14.41,,,,
12,0.8,11.2,14.8,,,,
9.6,1.2,8.4,14.63,,,,
13.6,4.6,9,13.99,,,,
13.4,2.8,10.6,14.37,,,,
14.2,1.6,12.6,14.66,,,,
10.6,2.4,8.2,14.32,,,,
13.1,1.2,11.9,14.73,,,,
14.8,0.8,14,14.84,,,,
7.9,3,4.9,13.86,,,,
12,0.8,11.2,14.8,,,,
8.8,1.6,7.2,14.45,,,,
8.4,41.6,-33.2,3.64,,,,
14.5,3,11.5,14.38,,,,
14.5,2.2,12.3,14.54,,,,
12.5,2,10.5,14.52,,,,
9.8,3,6.8,14.08,,,,
8.4,7.8,0.6,12.25,,,,
13.8,0.8,13,14.83,,,,
13.8,0.8,13,14.83,,,,
12.5,0.8,11.7,14.81,,,,
9.9,1.2,8.7,14.64,,,,
7.6,2.2,5.4,14.13,,,,
13.6,4.2,9.4,14.07,,,,
13,2.6,10.4,14.4,,,,
10.3,3.4,6.9,14.01,,,,
12.5,1.6,10.9,14.62,,,,
12.2,1.4,10.8,14.66,,,,
8.1,3,5.1,13.89,,,,
9.6,1.6,8,14.5,,,,
8.1,2.4,5.7,14.11,,,,
7.4,2.6,4.8,13.95,,,,
9,1.2,7.8,14.6,,,,
14.8,2.6,12.2,14.47,,,,
15,1.8,13.2,14.64,,,,
12.4,2,10.4,14.52,,,,
14,1.2,12.8,14.74,,,,
9.2,2.6,6.6,14.15,,,,
10.6,1.4,9.2,14.6,,,,
13.5,0.8,12.7,14.82,,,,
7.2,3.6,3.6,13.5,,,,
13.6,0.6,13,14.87,,,,
10.5,1,9.5,14.71,,,,
12.5,4.8,7.7,13.85,,,,
13.8,2.2,11.6,14.52,,,,
12.3,2,10.3,14.51,,,,
12.1,1.6,10.5,14.6,,,,
10.6,1.8,8.8,14.49,,,,
10.1,1.6,8.5,14.52,,,,
7.8,3,4.8,13.85,,,,
9.8,1.4,8.4,14.57,,,,
7.8,2.2,5.6,14.15,,,,
12.2,0.6,11.6,14.85,,,,
13.5,4.2,9.3,14.07,,,,
233.9,2.4,231.5,14.97,,,,
11.7,2.2,9.5,14.44,,,,
14.2,1.2,13,14.75,,,,
12.1,1.4,10.7,14.65,,,,
9.1,2.2,6.9,14.28,,,,
11.6,1,10.6,14.74,,,,
10.1,1.2,8.9,14.64,,,,
13.5,0.6,12.9,14.87,,,,
